Name,Address,Street Address,City,State,Zip Code,Programs,Link to Google Map,Requests,Phone to register
Young Neighborhood Library,"5107 Griggs Rd., 
Houston TX
77021",5107 Griggs Rd.,Houston,TX,77021,"Jun 6th Wed 1:30 PM to 3:00 PM Musical DJ - Live Coding,Jul 25th Wed 1:30 PM to 2:30 PM ASCII Art,Jul 18th Wed 1:30 PM to 3:00 PM Creative Coding with p5js","https://maps.google.com/maps?hl=en&q=Young+Neighborhood+Library+5107+Griggs+Rd.,++Houston+TX+77021",,(832) 393-2140
Houston Public Library - Central Library,"500 McKinney, 
Houston TX
77002",500 McKinney,Houston,TX,77002,"Jun 21st Wed 2:00 PM to 5:00 PM Intro to Python with Minecraft ,Jul 19th Thu 2:00 PM to 3:00 PM ASCII Art","https://maps.google.com/maps?hl=en&q=Houston+Public+Library+-+Central+Library+500+McKinney,++Houston+TX+77002",,(832) 393-1313
Heights Neighborhood Library,"1302 Heights Blvd, 
Houston TX
77008",1302 Heights Blvd,Houston,TX,77008,"Jun 28th Wed 2:00 PM to 3:30 PM ASCII Art,Jun 13th Wed 4:00 PM to 5:00 PM ASCII Art","https://maps.google.com/maps?hl=en&q=Heights+Neighborhood+Library+1302+Heights+Blvd,++Houston+TX+77008",,(832) 393-1810
Moody Neighborhood Library,"9525 Irvington Blvd, 
Houston TX
77076",9525 Irvington Blvd,Houston,TX,77076,"Jun 29th Thu 2:00 PM to 5:00 PM Intro to Python with Minecraft ,Jun 21st Thu 3:00 PM to 4:30 PM ASCII Art","https://maps.google.com/maps?hl=en&q=Moody+Neighborhood+Library+9525+Irvington+Blvd,++Houston+TX+77076",,(832) 393-1950
Kendall Neighborhood Library,"609 N Eldridge Pkwy, 
Houston TX
77079",609 N Eldridge Pkwy,Houston,TX,77079,Jun 15th Thu 3:00 PM to 4:30 PM ASCII Art,"https://maps.google.com/maps?hl=en&q=Kendall+Neighborhood+Library+609+N+Eldridge+Pkwy,++Houston+TX+77079",,(832) 393-1880
Lakewood Neighborhood Library,"8815 Feland St, 
Houston TX
77028",8815 Feland St,Houston,TX,77028,,"https://maps.google.com/maps?hl=en&q=Lakewood+Neighborhood+Library+8815+Feland+St,++Houston+TX+77028",,(832) 393-2530
The Iron Yard Houston,"4203 Montrose Blvd #100, 
Houston TX
77006",4203 Montrose Blvd #100,Houston,TX,77006,"Mar 18th Sat 1:00 PM to 5:00 PM Intro to Commandline,Mar 25th Sat 1:00 PM to 5:00 PM Intro to Git/Github,Apr 15th Sat 12:00 PM to 5:00 PM Intro to R ,Apr 22nd Sat 12:00 PM to 5:00 PM Intro to Web Scraping with R","https://maps.google.com/maps?hl=en&q=The+Iron+Yard+Houston+4203+Montrose+Blvd+#100,++Houston+TX+77006",,
Houston Community College - West Loop Center,"5601 West Loop S, 
Houston TX
77081",5601 West Loop S,Houston,TX,77081,Oct 7th Sat 1:30 PM to 4:00 PM Intro to Python with Minecraft ,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+West+Loop+Center+5601+West+Loop+S,++Houston+TX+77081",,
Houston Mini Maker Faire @ George R. Brown Convention Center,"1001 Avenida De Las Americas, 
Houston TX
77010",1001 Avenida De Las Americas,Houston,TX,77010,"Oct 21st Sat 11:30 AM to 1:00 PM Squishy Circuits,Oct 22nd Sun 12:30 PM to 2:00 PM Squishy Circuits","https://maps.google.com/maps?hl=en&q=Houston+Mini+Maker+Faire+@+George+R.+Brown+Convention+Center+1001+Avenida+De+Las+Americas,++Houston+TX+77010",,
CS Girls @ University of Houston,"4800 Calhoun Rd, 
Houston TX
77004",4800 Calhoun Rd,Houston,TX,77004,"Oct 27th Fri 5:00 PM to 8:00 PM Intro to Physical Computing with Raspberry Pi,Apr 13th Fri 5:00 PM to 7:00 PM Intro to Git/Github","https://maps.google.com/maps?hl=en&q=CS+Girls+@+University+of+Houston+4800+Calhoun+Rd,++Houston+TX+77004",,
