"Program","Start","End","Site","Total.Service.Hours","Num.Participants","program_type","Description","for_adults"
"Intro to Commandline","March 18, 2017 1:00pm","March 18, 2017 5:00pm","The Iron Yard Houston","4:00",40,"Ready for the Future","In this intro to Commandline workshops, participants will be given an overview of the commanline interface. Learn to navigate, access, and modify files and folders on your computer—all without a mouse! ",TRUE
"Intro to Git/Github","March 25, 2017 1:00pm","March 25, 2017 5:00pm","The Iron Yard Houston","4:00",50,"Ready for the Future","A free workshop for beginners to get hands-on experience with GitHub & Git!",TRUE
"Intro to R ","April 15, 2017 12:00pm","April 15, 2017 5:00pm","The Iron Yard Houston","5:00",70,"Ready for the Future","In this introduction to R workshop, participants will learn about the basics of this beautiful open source language.With over 2 million users worldwide R is rapidly becoming the leading programming language in statistics and data science.",TRUE
"Intro to Web Scraping with R","April 22, 2017 12:00pm","April 22, 2017 5:00pm","The Iron Yard Houston","5:00",60,"Ready for the Future","In this hands-on introduction, students learn about what web scraping is, why they may want to do it, and how to do it!  ",TRUE
"ASCII Art","June 15, 2017 3:00pm","June 15, 2017 4:30pm","Kendall Neighborhood Library","1:30",10,"Coding and the Arts","Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.",FALSE
"Intro to Python with Minecraft ","June 21, 2017 2:00pm","June 21, 2017 5:00pm","Houston Public Library - Central Library","3:00",8,"Coding and the Arts","This class is an introduction to coding for students aged 12-18 using Minecraft: Pi Edition and Python. With Coding in Minecraft, students will learn real world programming skills through guided lessons, creating their own in-game content along the way.",FALSE
"ASCII Art","June 28, 2017 2:00pm","June 28, 2017 3:30pm","Heights Neighborhood Library","1:30",8,"Coding and the Arts","Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.",FALSE
"Intro to Python with Minecraft ","June 29, 2017 2:00pm","June 29, 2017 5:00pm","Moody Neighborhood Library","3:00",14,"Coding and the Arts","This class is an introduction to coding for students aged 12-18 using Minecraft: Pi Edition and Python. With Coding in Minecraft, students will learn real world programming skills through guided lessons, creating their own in-game content along the way.",FALSE
"Intro to Python with Minecraft ","October 7, 2017 1:30pm","October 7, 2017 4:00pm","Houston Community College - West Loop Center","2:30",20,"Coding and the Arts","This class is an introduction to coding for students aged 12-18 using Minecraft: Pi Edition and Python. With Coding in Minecraft, students will learn real world programming skills through guided lessons, creating their own in-game content along the way.",FALSE
"Squishy Circuits","October 21, 2017 11:30am","October 21, 2017 1:00pm","Houston Mini Maker Faire @ George R. Brown Convention Center","1:30",8,"The Ripple Effect","Participant use conductive and insulating play dough to learn the basics of electrical circuits in a fun, hands-on way. They will also be able to take home their creations and recipe to make their own electric dough to continue their inventions.",FALSE
"Squishy Circuits","October 22, 2017 12:30pm","October 22, 2017 2:00pm","Houston Mini Maker Faire @ George R. Brown Convention Center","1:30",12,"The Ripple Effect","Participant use conductive and insulating play dough to learn the basics of electrical circuits in a fun, hands-on way. They will also be able to take home their creations and recipe to make their own electric dough to continue their inventions.",FALSE
"Creative Coding with p5js","October 23, 2017 6:00pm","October 23, 2017 7:30pm","Leonel Castillo Baker Ripley Community Center","1:30",6,"Coding and the Arts","Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.",FALSE
"Creative Coding with p5js","October 25, 2017 6:00pm","October 25, 2017 7:30pm","Leonel Castillo Baker Ripley Community Center","1:30",4,"Coding and the Arts","Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.",FALSE
"Intro to Physical Computing with Raspberry Pi","October 27, 2017 5:00pm","October 27, 2017 8:00pm","CS Girls @ University of Houston","3:00",14,"Invent to Learn","Students will be introduced to physical computing concepts by programming physical objects such as a motor or lights on the Raspberry Pi.  We will use either the Python or Scratch Programming Language.",FALSE
"Creative Coding with p5js","November 1, 2017 6:00pm","November 1, 2017 7:30pm","Leonel Castillo Baker Ripley Community Center","1:30",5,"Coding and the Arts","Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.",FALSE
"Creative Coding with p5js","November 2, 2017 6:00pm","November 2, 2017 7:30pm","Leonel Castillo Baker Ripley Community Center","1:30",2,"Coding and the Arts","Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.",FALSE
"Code Club","November 7, 2017 5:00pm","November 7, 2017 6:00pm","Leonel Castillo Baker Ripley Community Center","1:00",4,"Coding and the Arts","Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.",FALSE
"Creative Coding with p5js","November 7, 2017 6:00pm","November 7, 2017 7:30pm","Leonel Castillo Baker Ripley Community Center","1:30",5,"Coding and the Arts","Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.",FALSE
"Code Club","November 9, 2017 5:00pm","November 9, 2017 6:00pm","Leonel Castillo Baker Ripley Community Center","1:00",3,"Coding and the Arts","Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.",FALSE
