"Program","Site","Start","End","lat","lon","Address","Num.Participants","Description","program_type","for_adults","Total.Service.Hours","Street.Address","City","State","Zip.Code","Link.to.Google.Map"
"Raspberry Jam","AIG Office","June 26, 2018 8:00am","June 26, 2018 1:00pm",29.76158,-95.396744,"2929 Allen Pkwy #1300 Houston TX 77019",12,"Raspberry Jams are community events for people to come together to learn about digital making with Raspberry Pi. Jam events come in all shapes and sizes: workshops for beginners, drop-in sessions to work on your own projects, show-and-tell, talks, and more. A Jam is a meeting of all kinds of people: some will be new to physical computing, and some will have plenty of experience that they are happy to share. Jams are welcoming events where you’ll meet and learn from like-minded people in a friendly environment.","The Ripple Effect",TRUE,"5:00","2929 Allen Pkwy #1300","Houston","TX",77019,"https://maps.google.com/maps?hl=en&q=AIG+Office+2929+Allen+Pkwy+#1300,++Houston+TX+77019"
"Intro to Git/Github","CS Girls @ University of Houston","April 13, 2018 5:00pm","April 13, 2018 7:00pm",29.725092,-95.337569,"4800 Calhoun Rd Houston TX 77004",4,"A free workshop for beginners to get hands-on experience with GitHub & Git!","Ready for the Future",FALSE,"2:00","4800 Calhoun Rd","Houston","TX",77004,"https://maps.google.com/maps?hl=en&q=CS+Girls+@+University+of+Houston+4800+Calhoun+Rd,++Houston+TX+77004"
"Intro to Physical Computing with Raspberry Pi","CS Girls @ University of Houston","October 27, 2017 5:00pm","October 27, 2017 8:00pm",29.725092,-95.337569,"4800 Calhoun Rd Houston TX 77004",14,"Students will be introduced to physical computing concepts by programming physical objects such as a motor or lights on the Raspberry Pi.  We will use either the Python or Scratch Programming Language.","Invent to Learn",FALSE,"3:00","4800 Calhoun Rd","Houston","TX",77004,"https://maps.google.com/maps?hl=en&q=CS+Girls+@+University+of+Houston+4800+Calhoun+Rd,++Houston+TX+77004"
"Invent to Learn at FabLab Houston","FabLab Houston","July 30, 2018 10:00am","July 30, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","July 25, 2018 10:00am","July 25, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","July 27, 2018 10:00am","July 27, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","August 1, 2018 10:00am","August 1, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","July 24, 2018 10:00am","July 24, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Intro to Python with Minecraft ","FabLab Houston","September 18, 2018 10:30am","September 18, 2018 12:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",9,"This class is an introduction to coding for students aged 12-18 using Minecraft: Pi Edition and Python. With Coding in Minecraft, students will learn real world programming skills through guided lessons, creating their own in-game content along the way.","Coding and the Arts",FALSE,"1:30","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","July 26, 2018 10:00am","July 26, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
