"Name","Address","Street.Address","City","State","Zip.Code","Link.to.Google.Map","lat","lon"
"Young Neighborhood Library","5107 Griggs Rd. Houston TX 77021","5107 Griggs Rd.","Houston","TX",77021,"https://maps.google.com/maps?hl=en&q=Young+Neighborhood+Library+5107+Griggs+Rd.,++Houston+TX+77021",29.698636,-95.338795
"Houston Public Library - Central Library","500 McKinney Houston TX 77002","500 McKinney","Houston","TX",77002,"https://maps.google.com/maps?hl=en&q=Houston+Public+Library+-+Central+Library+500+McKinney,++Houston+TX+77002",29.759494,-95.369371
"Heights Neighborhood Library","1302 Heights Blvd Houston TX 77008","1302 Heights Blvd","Houston","TX",77008,"https://maps.google.com/maps?hl=en&q=Heights+Neighborhood+Library+1302+Heights+Blvd,++Houston+TX+77008",29.79441,-95.397685
"Moody Neighborhood Library","9525 Irvington Blvd Houston TX 77076","9525 Irvington Blvd","Houston","TX",77076,"https://maps.google.com/maps?hl=en&q=Moody+Neighborhood+Library+9525+Irvington+Blvd,++Houston+TX+77076",29.847275,-95.362564
"Kendall Neighborhood Library","609 N Eldridge Pkwy Houston TX 77079","609 N Eldridge Pkwy","Houston","TX",77079,"https://maps.google.com/maps?hl=en&q=Kendall+Neighborhood+Library+609+N+Eldridge+Pkwy,++Houston+TX+77079",29.776276,-95.618507
"Lakewood Neighborhood Library","8815 Feland St Houston TX 77028","8815 Feland St","Houston","TX",77028,"https://maps.google.com/maps?hl=en&q=Lakewood+Neighborhood+Library+8815+Feland+St,++Houston+TX+77028",29.841445,-95.267313
"The Iron Yard Houston","4203 Montrose Blvd #100 Houston TX 77006","4203 Montrose Blvd #100","Houston","TX",77006,"https://maps.google.com/maps?hl=en&q=The+Iron+Yard+Houston+4203+Montrose+Blvd+#100,++Houston+TX+77006",29.735295,-95.391056
"Houston Community College - West Loop Center","5601 West Loop S Houston TX 77081","5601 West Loop S","Houston","TX",77081,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+West+Loop+Center+5601+West+Loop+S,++Houston+TX+77081",29.696697,-95.316205
"Houston Mini Maker Faire @ George R. Brown Convention Center","1001 Avenida De Las Americas Houston TX 77010","1001 Avenida De Las Americas","Houston","TX",77010,"https://maps.google.com/maps?hl=en&q=Houston+Mini+Maker+Faire+@+George+R.+Brown+Convention+Center+1001+Avenida+De+Las+Americas,++Houston+TX+77010",29.752943,-95.358202
"CS Girls @ University of Houston","4800 Calhoun Rd Houston TX 77004","4800 Calhoun Rd","Houston","TX",77004,"https://maps.google.com/maps?hl=en&q=CS+Girls+@+University+of+Houston+4800+Calhoun+Rd,++Houston+TX+77004",29.725092,-95.337569
"Leonel Castillo Baker Ripley Community Center","2101 South St Houston TX 77009","2101 South St","Houston","TX",77009,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",29.807229,-95.357481
"Freed-Montrose Library","4100 Montrose Blvd Houston TX 77006","4100 Montrose Blvd","Houston","TX",77006,"https://maps.google.com/maps?hl=en&q=Freed-Montrose+Library+4100+Montrose+Blvd,++Houston+TX+77006",29.736167,-95.391143
"Stimley-Blue Ridge Library","7007 West Fuqua Houston TX 77489","7007 West Fuqua","Houston","TX",77489,"https://maps.google.com/maps?hl=en&q=Stimley-Blue+Ridge+Library+7007+West+Fuqua,++Houston+TX+77489",29.598864,-95.490616
"Looscan Library","2510 Willowick Houston Houston TX 77027","2510 Willowick Houston","Houston","TX",77027,"https://maps.google.com/maps?hl=en&q=Looscan+Library+2510+Willowick+Houston,++Houston+TX+77027",29.742413,-95.441715
"Henington-Alief Regional Library","7979 S Kirkwood Rd Houston TX 77072","7979 S Kirkwood Rd","Houston","TX",77072,"https://maps.google.com/maps?hl=en&q=Henington-Alief+Regional+Library+7979+S+Kirkwood+Rd,++Houston+TX+77072",29.69201,-95.587543
"Smith Neighborhood Library","3624 Scott St Houston TX 77004","3624 Scott St","Houston","TX",77004,"https://maps.google.com/maps?hl=en&q=Smith+Neighborhood+Library+3624+Scott+St,++Houston+TX+77004",29.723465,-95.351105
